image_path,umap_x,umap_y,cluster
../data\102018665_NEG570040238507752998_102018665_NEG570040238507752998_sw_arcsinh_vis_j.jpg,15.956022,-1.8732251,3
../data\102018665_NEG570040238507752998_102018665_NEG570040238507752998_sw_arcsinh_vis_only.jpg,11.344441,3.7883632,4
../data\102018665_NEG570040238507752998_102018665_NEG570040238507752998_sw_arcsinh_vis_y.jpg,15.709296,-1.972436,3
../data\102018665_NEG570040238507752998_102018665_NEG570040238507752998_sw_arcsinh_vis_y_j.jpg,14.248389,-2.907168,3
../data\102018665_NEG570040238507752998_102018665_NEG570040238507752998_sw_mtf_vis_j.jpg,10.634537,11.13431,2
../data\102018665_NEG570040238507752998_102018665_NEG570040238507752998_sw_mtf_vis_only.jpg,10.495562,7.3828583,4
../data\102018665_NEG570040238507752998_102018665_NEG570040238507752998_sw_mtf_vis_y.jpg,11.129576,10.80492,2
../data\102018665_NEG570040238507752998_102018665_NEG570040238507752998_sw_mtf_vis_y_j.jpg,-2.1211894,4.615792,1
../data\102018665_NEG576731213511114485_102018665_NEG576731213511114485_sw_arcsinh_vis_j.jpg,16.165161,-4.03088,3
../data\102018665_NEG576731213511114485_102018665_NEG576731213511114485_sw_arcsinh_vis_only.jpg,12.134187,4.1808977,4
../data\102018665_NEG576731213511114485_102018665_NEG576731213511114485_sw_arcsinh_vis_y.jpg,16.232075,-3.8941183,3
../data\102018665_NEG576731213511114485_102018665_NEG576731213511114485_sw_arcsinh_vis_y_j.jpg,14.218463,-4.4044075,3
../data\102018665_NEG576731213511114485_102018665_NEG576731213511114485_sw_mtf_vis_j.jpg,9.466148,10.541498,0
../data\102018665_NEG576731213511114485_102018665_NEG576731213511114485_sw_mtf_vis_only.jpg,9.759095,7.5410123,4
../data\102018665_NEG576731213511114485_102018665_NEG576731213511114485_sw_mtf_vis_y.jpg,9.702313,10.289069,2
../data\102018665_NEG576731213511114485_102018665_NEG576731213511114485_sw_mtf_vis_y_j.jpg,-2.989465,3.7749958,1
../data\102018666_NEG579859279508531437_102018666_NEG579859279508531437_sw_arcsinh_vis_j.jpg,16.350466,-3.9083893,3
../data\102018666_NEG579859279508531437_102018666_NEG579859279508531437_sw_arcsinh_vis_only.jpg,12.651346,4.1688485,4
../data\102018666_NEG579859279508531437_102018666_NEG579859279508531437_sw_arcsinh_vis_y.jpg,16.372913,-3.3813875,3
../data\102018666_NEG579859279508531437_102018666_NEG579859279508531437_sw_arcsinh_vis_y_j.jpg,14.255333,-4.6768084,3
../data\102018666_NEG579859279508531437_102018666_NEG579859279508531437_sw_mtf_vis_j.jpg,9.32754,10.570779,0
../data\102018666_NEG579859279508531437_102018666_NEG579859279508531437_sw_mtf_vis_only.jpg,8.818238,7.67356,4
../data\102018666_NEG579859279508531437_102018666_NEG579859279508531437_sw_mtf_vis_y.jpg,8.995861,10.6960125,0
../data\102018666_NEG579859279508531437_102018666_NEG579859279508531437_sw_mtf_vis_y_j.jpg,-3.354892,3.5486279,1
../data\102018667_NEG587746535508057234_102018667_NEG587746535508057234_sw_arcsinh_vis_j.jpg,16.098345,-3.1341736,3
../data\102018667_NEG587746535508057234_102018667_NEG587746535508057234_sw_arcsinh_vis_only.jpg,11.769185,4.07019,4
../data\102018667_NEG587746535508057234_102018667_NEG587746535508057234_sw_arcsinh_vis_y.jpg,16.051992,-2.9967935,3
../data\102018667_NEG587746535508057234_102018667_NEG587746535508057234_sw_arcsinh_vis_y_j.jpg,14.679837,-3.5548985,3
../data\102018667_NEG587746535508057234_102018667_NEG587746535508057234_sw_mtf_vis_j.jpg,11.158569,10.567143,2
