image_path,umap_x,umap_y,cluster
../data_2\102018665_NEG570040238507752998_102018665_NEG570040238507752998_sw_arcsinh_vis_only.jpg,-0.61460817,2.6883202,1
../data_2\102018665_NEG576731213511114485_102018665_NEG576731213511114485_sw_arcsinh_vis_only.jpg,0.78674245,3.5092814,1
../data_2\102018666_NEG579859279508531437_102018666_NEG579859279508531437_sw_arcsinh_vis_only.jpg,2.3073027,4.0685716,0
../data_2\102018667_NEG587746535508057234_102018667_NEG587746535508057234_sw_arcsinh_vis_only.jpg,0.15688072,3.6697698,1
../data_2\102018668_NEG595646727509469177_102018668_NEG595646727509469177_sw_arcsinh_vis_only.jpg,0.31184384,5.1974735,1
../data_2\102019123_NEG564667438505382529_102019123_NEG564667438505382529_sw_arcsinh_vis_only.jpg,3.5672736,4.9678283,0
../data_2\102019123_NEG567245233502945885_102019123_NEG567245233502945885_sw_arcsinh_vis_only.jpg,1.7987714,4.9417486,1
../data_2\102019125_NEG586359480506090347_102019125_NEG586359480506090347_sw_arcsinh_vis_only.jpg,0.6434218,4.9574304,1
../data_2\102019126_NEG589666030505609975_102019126_NEG589666030505609975_sw_arcsinh_vis_only.jpg,2.3968375,4.751219,0
../data_2\102019127_NEG596525941504553950_102019127_NEG596525941504553950_sw_arcsinh_vis_only.jpg,-0.78005093,4.169553,1
../data_2\102019127_NEG598523367504401932_102019127_NEG598523367504401932_sw_arcsinh_vis_only.jpg,-0.47166166,4.5600314,1
../data_2\102019128_NEG607555025503027911_102019128_NEG607555025503027911_sw_arcsinh_vis_only.jpg,2.551162,3.6863482,0
../data_2\102019128_NEG608928997504779012_102019128_NEG608928997504779012_sw_arcsinh_vis_only.jpg,1.6518884,2.6048887,1
../data_2\102019129_NEG617672661504204895_102019129_NEG617672661504204895_sw_arcsinh_vis_only.jpg,2.1170473,3.089329,0
../data_2\102019131_NEG626148898503257561_102019131_NEG626148898503257561_sw_arcsinh_vis_only.jpg,2.307809,3.1718514,0
../data_2\102019586_NEG564463213499964061_102019586_NEG564463213499964061_sw_arcsinh_vis_only.jpg,2.027972,4.7051806,0
../data_2\102019588_NEG576940500501085311_102019588_NEG576940500501085311_sw_arcsinh_vis_only.jpg,0.38231763,4.399904,1
../data_2\102019588_NEG579781735502176069_102019588_NEG579781735502176069_sw_arcsinh_vis_only.jpg,0.11176288,2.5712907,1
../data_2\102019588_NEG581189290502362418_102019588_NEG581189290502362418_sw_arcsinh_vis_only.jpg,-0.85202986,3.1732981,1
../data_2\102019591_NEG601417531499600002_102019591_NEG601417531499600002_sw_arcsinh_vis_only.jpg,2.1524312,4.3001246,0
../data_2\102019592_NEG606434619500983922_102019592_NEG606434619500983922_sw_arcsinh_vis_only.jpg,-0.7187784,4.8764696,1
../data_2\102019593_NEG612269334502356628_102019593_NEG612269334502356628_sw_arcsinh_vis_only.jpg,3.646811,5.0722985,0
../data_2\102019594_NEG620978815501656388_102019594_NEG620978815501656388_sw_arcsinh_vis_only.jpg,-0.5686899,4.708756,1
../data_2\102019595_NEG630246532498667881_102019595_NEG630246532498667881_sw_arcsinh_vis_only.jpg,0.5975073,2.9461806,1
../data_2\102020054_NEG556215936492901652_102020054_NEG556215936492901652_sw_arcsinh_vis_only.jpg,0.13384208,4.9423723,1
../data_2\102020055_NEG563894315496088157_102020055_NEG563894315496088157_sw_arcsinh_vis_only.jpg,-0.7677977,2.7420218,1
../data_2\102020055_NEG564676209494509344_102020055_NEG564676209494509344_sw_arcsinh_vis_only.jpg,3.0808296,4.87595,0
../data_2\102020056_NEG568919155497446978_102020056_NEG568919155497446978_sw_arcsinh_vis_only.jpg,-1.2687396,3.812591,1
