image_path,umap_x,umap_y,cluster
../data_3\102018665_NEG570040238507752998_102018665_NEG570040238507752998_sw_mtf_vis_only.jpg,-2.4145706,-4.884472,1
../data_3\102018665_NEG576731213511114485_102018665_NEG576731213511114485_sw_mtf_vis_only.jpg,-2.6344385,-2.2731676,0
../data_3\102018666_NEG579859279508531437_102018666_NEG579859279508531437_sw_mtf_vis_only.jpg,-0.5111281,-1.5296415,1
../data_3\102018667_NEG587746535508057234_102018667_NEG587746535508057234_sw_mtf_vis_only.jpg,-2.8732903,-3.3821805,1
../data_3\102018668_NEG595646727509469177_102018668_NEG595646727509469177_sw_mtf_vis_only.jpg,-2.3019989,-4.2865114,1
../data_3\102019123_NEG564667438505382529_102019123_NEG564667438505382529_sw_mtf_vis_only.jpg,-0.2831062,-0.07469769,1
../data_3\102019123_NEG567245233502945885_102019123_NEG567245233502945885_sw_mtf_vis_only.jpg,-0.43597192,-4.8950086,1
../data_3\102019125_NEG586359480506090347_102019125_NEG586359480506090347_sw_mtf_vis_only.jpg,-0.735406,-4.955345,1
../data_3\102019126_NEG589666030505609975_102019126_NEG589666030505609975_sw_mtf_vis_only.jpg,-0.7618162,-1.9734738,1
../data_3\102019127_NEG596525941504553950_102019127_NEG596525941504553950_sw_mtf_vis_only.jpg,-1.5546808,-4.21119,1
../data_3\102019127_NEG598523367504401932_102019127_NEG598523367504401932_sw_mtf_vis_only.jpg,-0.81272805,-4.787192,1
../data_3\102019128_NEG607555025503027911_102019128_NEG607555025503027911_sw_mtf_vis_only.jpg,-0.8450753,-0.9800874,1
../data_3\102019128_NEG608928997504779012_102019128_NEG608928997504779012_sw_mtf_vis_only.jpg,-0.9486114,-2.7131488,1
../data_3\102019129_NEG617672661504204895_102019129_NEG617672661504204895_sw_mtf_vis_only.jpg,-1.3623953,-2.2709215,1
../data_3\102019131_NEG626148898503257561_102019131_NEG626148898503257561_sw_mtf_vis_only.jpg,-0.5396654,-4.728475,1
../data_3\102019586_NEG564463213499964061_102019586_NEG564463213499964061_sw_mtf_vis_only.jpg,-0.1395383,-1.6316534,1
../data_3\102019588_NEG576940500501085311_102019588_NEG576940500501085311_sw_mtf_vis_only.jpg,0.17403634,-2.8086424,1
../data_3\102019588_NEG579781735502176069_102019588_NEG579781735502176069_sw_mtf_vis_only.jpg,-2.2605076,-4.8713136,1
../data_3\102019588_NEG581189290502362418_102019588_NEG581189290502362418_sw_mtf_vis_only.jpg,-2.5536933,-4.092803,1
../data_3\102019591_NEG601417531499600002_102019591_NEG601417531499600002_sw_mtf_vis_only.jpg,-0.58976144,-1.1903456,1
../data_3\102019592_NEG606434619500983922_102019592_NEG606434619500983922_sw_mtf_vis_only.jpg,-0.69320357,-3.966575,1
../data_3\102019593_NEG612269334502356628_102019593_NEG612269334502356628_sw_mtf_vis_only.jpg,-0.43977812,-0.16564551,1
../data_3\102019594_NEG620978815501656388_102019594_NEG620978815501656388_sw_mtf_vis_only.jpg,-2.4056387,-4.553354,1
../data_3\102019595_NEG630246532498667881_102019595_NEG630246532498667881_sw_mtf_vis_only.jpg,-1.0672554,-3.0941665,0
../data_3\102020054_NEG556215936492901652_102020054_NEG556215936492901652_sw_mtf_vis_only.jpg,-1.5744889,-4.4812636,1
../data_3\102020055_NEG563894315496088157_102020055_NEG563894315496088157_sw_mtf_vis_only.jpg,-2.8978064,-5.0143204,1
../data_3\102020055_NEG564676209494509344_102020055_NEG564676209494509344_sw_mtf_vis_only.jpg,-0.48179886,-0.54281175,1
../data_3\102020056_NEG568919155497446978_102020056_NEG568919155497446978_sw_mtf_vis_only.jpg,-0.99899805,-4.6232715,1
../data_3\102020056_NEG569381219495998178_102020056_NEG569381219495998178_sw_mtf_vis_only.jpg,-2.1079133,-3.934367,1
../data_3\102020056_NEG571928631495947554_102020056_NEG571928631495947554_sw_mtf_vis_only.jpg,-0.21151532,-4.4842596,1
../data_3\102020056_NEG573379534495223440_102020056_NEG573379534495223440_sw_mtf_vis_only.jpg,-0.50867164,-5.132147,1
../data_3\102020059_NEG590814898493650143_102020059_NEG590814898493650143_sw_mtf_vis_only.jpg,-0.2033997,-5.0732183,1
