image_path,umap_x,umap_y,cluster
../labeled_data/einstein_rings\102159773_2677079122669151496_sw_arcsinh_vis_only.jpg,-0.012052175,11.592609,1
../labeled_data/einstein_rings\EUC_70137_DESI-selsw_arcsinh_vis_only.jpg,2.4878063,11.805118,1
../labeled_data/einstein_rings\EUC_70153_DESI-selsw_arcsinh_vis_only.jpg,-1.397002,9.10928,1
../labeled_data/einstein_rings\EUC_70213_DESI-selsw_arcsinh_vis_only.jpg,2.6231806,11.425809,1
../labeled_data/einstein_rings\EUC_70220_DESI-selsw_arcsinh_vis_only.jpg,-0.36661258,12.318579,1
../labeled_data/einstein_rings\EUC_70247_DESI-selsw_arcsinh_vis_only.jpg,-0.97987795,12.741166,1
../labeled_data/einstein_rings\EUC_70320_DESI-selsw_arcsinh_vis_only.jpg,-1.4451642,12.223832,1
../labeled_data/einstein_rings\EUC_70433_DESI-selsw_arcsinh_vis_only.jpg,-0.5601762,12.537866,1
../labeled_data/einstein_rings\EUC_70499_DESI-selsw_arcsinh_vis_only.jpg,2.1700087,11.636633,1
../labeled_data/einstein_rings\EUC_70561_DESI-selsw_arcsinh_vis_only.jpg,-1.6486132,8.937282,1
../labeled_data/einstein_rings\EUC_71628_DESI-selsw_arcsinh_vis_only.jpg,-1.6759759,9.258152,1
../labeled_data/einstein_rings\EUC_71679_DESI-selsw_arcsinh_vis_only.jpg,-1.5870714,12.125198,1
../labeled_data/einstein_rings\EUC_71810_DESI-selsw_arcsinh_vis_only.jpg,-1.1590981,10.022524,1
../labeled_data/einstein_rings\EUC_71840_DESI-selsw_arcsinh_vis_only.jpg,2.3526177,11.364091,1
../labeled_data/einstein_rings\EUC_71842_DESI-selsw_arcsinh_vis_only.jpg,-1.4326538,12.914449,1
../labeled_data/einstein_rings\EUC_71909_DESI-selsw_arcsinh_vis_only.jpg,-1.2933371,12.549486,1
../labeled_data/einstein_rings\EUC_71945_DESI-selsw_arcsinh_vis_only.jpg,-0.02575187,12.1988125,1
../labeled_data/einstein_rings\EUC_71946_DESI-selsw_arcsinh_vis_only.jpg,-0.04022268,12.108399,1
../labeled_data/einstein_rings\EUC_71983_DESI-selsw_arcsinh_vis_only.jpg,-0.8953115,11.906831,1
../labeled_data/einstein_rings\EUC_71991_DESI-selsw_arcsinh_vis_only.jpg,-0.5243754,12.456595,1
../labeled_data/einstein_rings\EUC_72077_DESI-selsw_arcsinh_vis_only.jpg,2.5167117,11.152873,1
../labeled_data/einstein_rings\EUC_72165_DESI-selsw_arcsinh_vis_only.jpg,0.31849185,12.327491,1
../labeled_data/einstein_rings\EUC_72263_DESI-selsw_arcsinh_vis_only.jpg,-0.035850983,12.585978,1
../labeled_data/einstein_rings\sample_sim_1850.jpg,0.903861,12.63607,1
../labeled_data/einstein_rings\sample_sim_2082.jpg,-1.1530704,12.908448,1
../labeled_data/einstein_rings\sample_sim_2105.jpg,-0.76806754,12.66393,1
../labeled_data/einstein_rings\sample_sim_2274.jpg,-0.3537742,12.176469,1
../labeled_data/einstein_rings\sample_sim_7316.jpg,-0.2612565,12.655331,1
../labeled_data/einstein_rings\sample_sim_7518.jpg,-1.0806417,12.659816,1
../labeled_data/einstein_rings\sample_sim_7649.jpg,-0.16252501,12.803302,1
../labeled_data/einstein_rings\sample_sim_7731.jpg,-0.7118862,12.617698,1
../labeled_data/einstein_rings\sample_sim_8066.jpg,-0.5151275,12.867786,1
../labeled_data/einstein_rings\sample_sim_8771.jpg,-1.1953547,12.962125,1
../labeled_data/einstein_rings\sample_sim_9013.jpg,-1.3651878,12.9774,1
../labeled_data/einstein_rings\Tile101830396RA2679224687545DEC0645862388185_asinh28.jpg,1.4574593,12.133628,1
../labeled_data/einstein_rings\Tile102012783RA0787583287751DECNEG0578305361829_asinh31.jpg,-0.21597521,12.173946,1
../labeled_data/einstein_rings\Tile102165192RA2136289735527DEC0797516594939_asinh24.jpg,-0.889709,12.82123,1
../data_2\102018665_NEG570040238507752998_102018665_NEG570040238507752998_sw_arcsinh_vis_only.jpg,-2.3843849,11.7180605,1
../data_2\102018665_NEG576731213511114485_102018665_NEG576731213511114485_sw_arcsinh_vis_only.jpg,0.16219702,9.927049,1
../data_2\102018666_NEG579859279508531437_102018666_NEG579859279508531437_sw_arcsinh_vis_only.jpg,1.1696931,11.565519,1
../data_2\102018667_NEG587746535508057234_102018667_NEG587746535508057234_sw_arcsinh_vis_only.jpg,-1.2727693,10.349615,1
../data_2\102018668_NEG595646727509469177_102018668_NEG595646727509469177_sw_arcsinh_vis_only.jpg,-0.29544193,11.271305,1
../data_2\102019123_NEG564667438505382529_102019123_NEG564667438505382529_sw_arcsinh_vis_only.jpg,2.5854442,11.573456,1
../data_2\102019123_NEG567245233502945885_102019123_NEG567245233502945885_sw_arcsinh_vis_only.jpg,0.6682187,10.737925,1
../data_2\102019125_NEG586359480506090347_102019125_NEG586359480506090347_sw_arcsinh_vis_only.jpg,-0.467146,10.795833,1
../data_2\102019126_NEG589666030505609975_102019126_NEG589666030505609975_sw_arcsinh_vis_only.jpg,1.1033022,11.866034,1
../data_2\102019127_NEG596525941504553950_102019127_NEG596525941504553950_sw_arcsinh_vis_only.jpg,-1.6188761,10.918971,1
../data_2\102019127_NEG598523367504401932_102019127_NEG598523367504401932_sw_arcsinh_vis_only.jpg,-0.9513702,10.51486,1
../data_2\102019128_NEG607555025503027911_102019128_NEG607555025503027911_sw_arcsinh_vis_only.jpg,1.5537649,10.118828,1
../data_2\102019128_NEG608928997504779012_102019128_NEG608928997504779012_sw_arcsinh_vis_only.jpg,0.10609377,9.2642975,1
../data_2\102019129_NEG617672661504204895_102019129_NEG617672661504204895_sw_arcsinh_vis_only.jpg,0.9060122,9.747156,1
../data_2\102019131_NEG626148898503257561_102019131_NEG626148898503257561_sw_arcsinh_vis_only.jpg,1.0122511,10.03267,1
../data_2\102019586_NEG564463213499964061_102019586_NEG564463213499964061_sw_arcsinh_vis_only.jpg,1.0435638,11.96386,1
../data_2\102019588_NEG576940500501085311_102019588_NEG576940500501085311_sw_arcsinh_vis_only.jpg,-0.35985324,10.763903,1
../data_2\102019588_NEG579781735502176069_102019588_NEG579781735502176069_sw_arcsinh_vis_only.jpg,-1.1929524,12.810137,1
